    best_ntrees  best_score  bst:colsample_bytree   bst:eta  bst:max_depth  \
0            94    0.051845              0.931535  0.100158             17   
1            92    0.051378              0.968768  0.093629             18   
2           133    0.050911              0.842197  0.043463             26   
3           104    0.050911              0.710946  0.132247             21   
4           141    0.052312              0.985300  0.053184             21   
5           109    0.049043              0.902661  0.197191             11   
6           148    0.048108              0.836721  0.207988             11   
7            98    0.051378              0.917304  0.134239             13   
8            86    0.048575              0.857228  0.138753             16   
9           262    0.051845              0.906034  0.018359             23   
10           76    0.051378              0.771404  0.152163             20   
11           47    0.051378              0.969194  0.194788             17   
12          196    0.048108              0.891396  0.196327             16   
13          153    0.048575              0.725071  0.195012             26   
14          122    0.050444              0.892394  0.109436             16   
15          132    0.052312              0.968571  0.145017             25   
16          330    0.049043              0.848099  0.064696             28   
17          249    0.049043              0.813367  0.024626             28   
18          203    0.049510              0.748066  0.082151             13   
19          242    0.049977              0.910694  0.075479             15   
20           84    0.049510              0.849842  0.207377             16   
21           64    0.052312              0.943127  0.168320             21   
22          129    0.048575              0.963120  0.132598             23   
23          144    0.048108              0.781911  0.081310             16   
24          165    0.047174              0.802347  0.201512             21   
25           91    0.050444              0.712711  0.130383             12   
26          426    0.051378              0.990190  0.037740             13   
27          156    0.049043              0.828610  0.099590             22   
28          209    0.050911              0.762408  0.032749             14   
29           82    0.049510              0.841551  0.178157             12   
..          ...         ...                   ...       ...            ...   
59          145    0.046707              0.871432  0.075352             17   
60           52    0.049977              0.771682  0.193528             26   
61           70    0.050911              0.877662  0.077693             24   
62          243    0.049510              0.947964  0.066908             24   
63          127    0.047174              0.717626  0.084229             10   
64           86    0.050911              0.760809  0.144907             12   
65          111    0.047174              0.822079  0.087169             26   
66          156    0.049043              0.873679  0.122386             23   
67          184    0.048575              0.746998  0.097533             19   
68          260    0.048575              0.880941  0.089522             15   
69           75    0.051378              0.892231  0.139495             13   
70          126    0.052312              0.849756  0.133043             21   
71           74    0.047641              0.858381  0.177054             13   
72          186    0.050911              0.861152  0.044200             16   
73           46    0.052779              0.759205  0.196995             12   
74           65    0.049510              0.835336  0.159889             29   
75          117    0.050911              0.823263  0.110296             28   
76          214    0.050911              0.835605  0.050845             27   
77          369    0.049510              0.989263  0.028128             25   
78           74    0.048575              0.821627  0.157301             21   
79           79    0.052312              0.836524  0.177438             17   
80          117    0.050911              0.860638  0.135462             18   
81          213    0.050444              0.741118  0.147797             10   
82           75    0.049977              0.791428  0.107847             23   
83           95    0.050911              0.745877  0.164820             16   
84          192    0.050444              0.845648  0.199221             13   
85           32    0.051845              0.824452  0.192438             24   
86          339    0.049510              0.889433  0.035462             24   
87          458    0.049043              0.788945  0.037533             11   
88           83    0.050911              0.951050  0.143624             11   

    bst:subsample  early_stopping  n_round  ntrees     score  
0        0.520739             100      800     194  0.052312  
1        0.901434             100      800     192  0.052779  
2        0.898369             100      800     233  0.051378  
3        0.966850             100      800     204  0.052779  
4        0.754955             100      800     241  0.054180  
5        0.882263             100      800     209  0.050911  
6        0.886666             100      800     248  0.048575  
7        0.839309             100      800     198  0.052312  
8        0.594383             100      800     186  0.050911  
9        0.616387             100      800     362  0.053246  
10       0.623131             100      800     176  0.051378  
11       0.709124             100      800     147  0.052312  
12       0.553802             100      800     296  0.049977  
13       0.539766             100      800     253  0.050444  
14       0.860486             100      800     222  0.052312  
15       0.628952             100      800     232  0.053713  
16       0.972043             100      800     430  0.049510  
17       0.668965             100      800     349  0.050444  
18       0.927385             100      800     303  0.051378  
19       0.761231             100      800     342  0.050911  
20       0.704757             100      800     184  0.052312  
21       0.534114             100      800     164  0.053246  
22       0.691809             100      800     229  0.050911  
23       0.682923             100      800     244  0.050444  
24       0.694469             100      800     265  0.051378  
25       0.953237             100      800     191  0.051845  
26       0.787442             100      800     526  0.052779  
27       0.648459             100      800     256  0.049977  
28       0.782939             100      800     309  0.051845  
29       0.784476             100      800     182  0.051378  
..            ...             ...      ...     ...       ...  
59       0.567700             100      800     245  0.048575  
60       0.634128             100      800     152  0.052779  
61       0.705966             100      800     170  0.051845  
62       0.940382             100      800     343  0.051845  
63       0.695175             100      800     227  0.047641  
64       0.676519             100      800     186  0.050911  
65       0.749906             100      800     211  0.049043  
66       0.751882             100      800     256  0.049510  
67       0.817537             100      800     284  0.049510  
68       0.969909             100      800     360  0.050444  
69       0.607642             100      800     175  0.053246  
70       0.515919             100      800     226  0.053246  
71       0.827371             100      800     174  0.048575  
72       0.814183             100      800     286  0.051378  
73       0.957651             100      800     146  0.054180  
74       0.896665             100      800     165  0.050444  
75       0.863026             100      800     217  0.053246  
76       0.900597             100      800     314  0.052312  
77       0.579538             100      800     469  0.049977  
78       0.816712             100      800     174  0.050911  
79       0.914012             100      800     179  0.055114  
80       0.654762             100      800     217  0.051845  
81       0.886931             100      800     313  0.051845  
82       0.561585             100      800     175  0.051378  
83       0.634165             100      800     195  0.053713  
84       0.765862             100      800     292  0.052312  
85       0.721215             100      800     132  0.055582  
86       0.769940             100      800     439  0.049977  
87       0.943996             100      800     558  0.051378  
88       0.822562             100      800     183  0.050911  

[89 rows x 10 columns]
