    best_ntrees  best_score  bst:colsample_bytree   bst:eta  bst:max_depth  \
0           207    0.066576              0.748616  0.202119             26   
1           204    0.067935              0.906350  0.063338             28   
2            89    0.067935              0.889948  0.196942             15   
3           390    0.066123              0.920838  0.058492             10   
4           390    0.064764              0.740787  0.148950             18   
5           152    0.069746              0.954732  0.149519             27   
6           336    0.067482              0.960058  0.033604             24   
7           164    0.067029              0.968585  0.121390             19   
8           248    0.073822              0.908271  0.024076             12   
9           158    0.066576              0.726695  0.151626             26   
10           79    0.068841              0.903535  0.169523             28   
11          160    0.064764              0.974825  0.155681             28   
12          174    0.067482              0.881026  0.139026             26   
13           84    0.066123              0.756268  0.162639             20   
14          217    0.068388              0.851366  0.136911             26   
15          241    0.067029              0.909943  0.063588             12   
16          386    0.066123              0.958544  0.027802             16   
17          290    0.067935              0.929194  0.067100             14   

    bst:subsample  early_stopping  n_round  ntrees     score  
0        0.898937             100      800     307  0.067935  
1        0.739395             100      800     304  0.069293  
2        0.977190             100      800     189  0.068841  
3        0.601276             100      800     490  0.067029  
4        0.730962             100      800     490  0.065670  
5        0.640387             100      800     252  0.072917  
6        0.793134             100      800     436  0.068388  
7        0.672927             100      800     264  0.067935  
8        0.984622             100      800     348  0.074275  
9        0.526743             100      800     258  0.068388  
10       0.585970             100      800     179  0.070199  
11       0.584206             100      800     260  0.065217  
12       0.632134             100      800     274  0.068841  
13       0.914701             100      800     184  0.067029  
14       0.682046             100      800     317  0.069746  
15       0.597526             100      800     341  0.068388  
16       0.527557             100      800     486  0.066123  
17       0.893709             100      800     390  0.068388  
