     best_ntrees  best_score  bst:colsample_bytree   bst:eta  bst:max_depth  \
0            254    0.066324              0.858151  0.203779             17   
1            246    0.069594              0.774223  0.189640             15   
2            282    0.070061              0.788207  0.070019             12   
3            163    0.071462              0.810615  0.058861             19   
4            142    0.075666              0.928705  0.173505             27   
5            233    0.079402              0.985935  0.061926             13   
6            134    0.059785              0.943942  0.115512             18   
7            147    0.068192              0.720356  0.149401             15   
8            194    0.070995              0.801242  0.139542             22   
9            154    0.074264              0.717791  0.101962             14   
10           235    0.070995              0.896389  0.095607             24   
11           580    0.075199              0.853684  0.020641             19   
12           100    0.074264              0.993832  0.116453             25   
13           116    0.071929              0.825967  0.129430             19   
14           463    0.077067              0.915369  0.020514             16   
15           173    0.072396              0.806175  0.148010             23   
16           181    0.071462              0.982700  0.139132             17   
17           160    0.072396              0.952398  0.124957             29   
18           199    0.068192              0.773489  0.140193             12   
19           204    0.076600              0.865273  0.027883             24   
20            84    0.073330              0.795977  0.165355             16   
21           499    0.070528              0.963544  0.056753             12   
22           143    0.072396              0.701166  0.122111             20   
23           189    0.073330              0.959005  0.114527             10   
24           332    0.069127              0.912202  0.083739             17   
25           198    0.072863              0.805205  0.128502             14   
26           130    0.074264              0.914896  0.126406             24   
27           610    0.075666              0.894619  0.014185             25   
28           400    0.073797              0.971458  0.029098             17   
29           123    0.070528              0.746909  0.124133             29   
..           ...         ...                   ...       ...            ...   
92            71    0.072863              0.821315  0.171209             23   
93           171    0.070528              0.892431  0.156625             20   
94            72    0.073797              0.894691  0.105369             12   
95           144    0.071462              0.917762  0.158270             28   
96           125    0.070061              0.729142  0.162206             14   
97           172    0.071462              0.769055  0.093474             10   
98           137    0.069594              0.991373  0.122698             18   
99           152    0.075199              0.982279  0.092500             12   
100           82    0.069594              0.983171  0.139885             19   
101          103    0.071462              0.935498  0.066619             16   
102          335    0.070995              0.946697  0.038635             26   
103           42    0.074731              0.973581  0.197621             13   
104           60    0.070995              0.713971  0.195057             14   
105           47    0.073797              0.936464  0.191074             21   
106           93    0.071462              0.761953  0.079380             27   
107          200    0.072396              0.724837  0.022684             23   
108           64    0.074731              0.977994  0.155232             12   
109          114    0.074731              0.892316  0.134346             11   
110          172    0.071929              0.782590  0.094739             26   
111          205    0.071929              0.784915  0.028326             18   
112           97    0.075199              0.940104  0.079976             15   
113          152    0.066324              0.780146  0.097607             16   
114           86    0.072863              0.950884  0.147778             24   
115           75    0.072863              0.780809  0.096090             23   
116          217    0.074264              0.895402  0.018896             11   
117          103    0.074264              0.809951  0.081426             17   
118           48    0.072396              0.983302  0.112414             29   
119          382    0.068660              0.730941  0.022750             11   
120          118    0.068660              0.762266  0.124683             22   
121          110    0.069594              0.844764  0.127157             12   

     bst:subsample  early_stopping  n_round  ntrees     score  
0         0.585147             100      800     354  0.066791  
1         0.647990             100      800     346  0.070528  
2         0.962611             100      800     382  0.072396  
3         0.587010             100      800     263  0.072396  
4         0.630493             100      800     242  0.077534  
5         0.748882             100      800     333  0.080336  
6         0.647034             100      800     234  0.061653  
7         0.528869             100      800     247  0.071462  
8         0.524729             100      800     294  0.073330  
9         0.874236             100      800     254  0.075199  
10        0.592059             100      800     335  0.071462  
11        0.975324             100      800     680  0.076133  
12        0.856828             100      800     200  0.074731  
13        0.787664             100      800     216  0.072863  
14        0.975380             100      800     563  0.077534  
15        0.584830             100      800     273  0.075199  
16        0.918540             100      800     281  0.072396  
17        0.645989             100      800     260  0.074731  
18        0.575883             100      800     299  0.071929  
19        0.633560             100      800     304  0.077534  
20        0.879310             100      800     184  0.073330  
21        0.873349             100      800     599  0.070528  
22        0.912350             100      800     243  0.073797  
23        0.605086             100      800     289  0.075666  
24        0.795222             100      800     432  0.070061  
25        0.686816             100      800     298  0.074731  
26        0.650004             100      800     230  0.075199  
27        0.958642             100      800     710  0.077534  
28        0.819068             100      800     500  0.073797  
29        0.683328             100      800     223  0.071929  
..             ...             ...      ...     ...       ...  
92        0.834468             100      800     171  0.073797  
93        0.814867             100      800     271  0.071462  
94        0.905313             100      800     172  0.077534  
95        0.704877             100      800     244  0.073797  
96        0.832087             100      800     225  0.076600  
97        0.985854             100      800     272  0.073330  
98        0.896203             100      800     237  0.072863  
99        0.998368             100      800     252  0.078001  
100       0.565108             100      800     182  0.071929  
101       0.671539             100      800     203  0.072863  
102       0.748287             100      800     435  0.073330  
103       0.682531             100      800     142  0.075666  
104       0.625899             100      800     160  0.074731  
105       0.810511             100      800     147  0.075666  
106       0.690120             100      800     193  0.073330  
107       0.710181             100      800     300  0.074264  
108       0.918375             100      800     164  0.075666  
109       0.895851             100      800     214  0.078468  
110       0.926076             100      800     272  0.075666  
111       0.524013             100      800     305  0.073330  
112       0.838236             100      800     197  0.075666  
113       0.755971             100      800     252  0.069594  
114       0.830991             100      800     186  0.075199  
115       0.613748             100      800     175  0.074264  
116       0.808886             100      800     317  0.075199  
117       0.989109             100      800     203  0.075666  
118       0.738759             100      800     148  0.075199  
119       0.507739             100      800     482  0.070061  
120       0.528421             100      800     218  0.074264  
121       0.623768             100      800     210  0.070995  

[122 rows x 10 columns]
