   best_ntrees  best_score  bst:colsample_bytree   bst:eta  bst:max_depth  \
0          254    0.066324              0.858151  0.203779             17   
1          246    0.069594              0.774223  0.189640             15   
2          282    0.070061              0.788207  0.070019             12   
3          163    0.071462              0.810615  0.058861             19   
4          142    0.075666              0.928705  0.173505             27   

   bst:subsample  early_stopping  n_round  ntrees     score  
0       0.585147             100      800     354  0.066791  
1       0.647990             100      800     346  0.070528  
2       0.962611             100      800     382  0.072396  
3       0.587010             100      800     263  0.072396  
4       0.630493             100      800     242  0.077534  
