    best_ntrees  best_score  bst:colsample_bytree   bst:eta  bst:max_depth  \
0           254    0.066324              0.858151  0.203779             17   
1           246    0.069594              0.774223  0.189640             15   
2           282    0.070061              0.788207  0.070019             12   
3           163    0.071462              0.810615  0.058861             19   
4           142    0.075666              0.928705  0.173505             27   
5           233    0.079402              0.985935  0.061926             13   
6           134    0.059785              0.943942  0.115512             18   
7           147    0.068192              0.720356  0.149401             15   
8           194    0.070995              0.801242  0.139542             22   
9           154    0.074264              0.717791  0.101962             14   
10          235    0.070995              0.896389  0.095607             24   
11          580    0.075199              0.853684  0.020641             19   
12          100    0.074264              0.993832  0.116453             25   
13          116    0.071929              0.825967  0.129430             19   
14          463    0.077067              0.915369  0.020514             16   
15          173    0.072396              0.806175  0.148010             23   
16          181    0.071462              0.982700  0.139132             17   
17          160    0.072396              0.952398  0.124957             29   
18          199    0.068192              0.773489  0.140193             12   
19          204    0.076600              0.865273  0.027883             24   
20           84    0.073330              0.795977  0.165355             16   
21          499    0.070528              0.963544  0.056753             12   
22          143    0.072396              0.701166  0.122111             20   
23          189    0.073330              0.959005  0.114527             10   
24          332    0.069127              0.912202  0.083739             17   
25          198    0.072863              0.805205  0.128502             14   
26          130    0.074264              0.914896  0.126406             24   
27          610    0.075666              0.894619  0.014185             25   
28          400    0.073797              0.971458  0.029098             17   
29          123    0.070528              0.746909  0.124133             29   
..          ...         ...                   ...       ...            ...   
47          184    0.073330              0.715908  0.025406             26   
48           90    0.071462              0.770619  0.108796             20   
49          137    0.070995              0.998124  0.094098             24   
50          213    0.070995              0.901352  0.191450             28   
51           55    0.069594              0.700731  0.174158             28   
52          211    0.070061              0.848253  0.073939             28   
53          151    0.068660              0.766971  0.075620             29   
54           85    0.074264              0.965930  0.128818             24   
55           64    0.070061              0.825629  0.179289             17   
56          387    0.070528              0.707344  0.025023             27   
57          166    0.072863              0.821946  0.097394             28   
58           87    0.071462              0.766275  0.107888             26   
59          225    0.071929              0.760961  0.039438             26   
60           99    0.072863              0.858670  0.151777             25   
61           58    0.070995              0.775246  0.099558             11   
62           73    0.067725              0.743723  0.126824             25   
63           77    0.074264              0.736354  0.205477             22   
64          149    0.071929              0.913514  0.119307             23   
65          258    0.072863              0.786342  0.020885             17   
66           45    0.073797              0.960810  0.198127             26   
67          151    0.071929              0.895742  0.152723             20   
68          235    0.077067              0.846674  0.016370             25   
69          117    0.075199              0.920369  0.089976             23   
70          139    0.070995              0.746124  0.091049             11   
71           92    0.070061              0.833208  0.204220             23   
72           49    0.068660              0.903681  0.194792             12   
73          185    0.069594              0.789434  0.055601             17   
74           54    0.071462              0.772397  0.190562             19   
75          105    0.072863              0.908003  0.159829             23   
76          237    0.076600              0.784066  0.042226             12   

    bst:subsample  early_stopping  n_round  ntrees     score  
0        0.585147             100      800     354  0.066791  
1        0.647990             100      800     346  0.070528  
2        0.962611             100      800     382  0.072396  
3        0.587010             100      800     263  0.072396  
4        0.630493             100      800     242  0.077534  
5        0.748882             100      800     333  0.080336  
6        0.647034             100      800     234  0.061653  
7        0.528869             100      800     247  0.071462  
8        0.524729             100      800     294  0.073330  
9        0.874236             100      800     254  0.075199  
10       0.592059             100      800     335  0.071462  
11       0.975324             100      800     680  0.076133  
12       0.856828             100      800     200  0.074731  
13       0.787664             100      800     216  0.072863  
14       0.975380             100      800     563  0.077534  
15       0.584830             100      800     273  0.075199  
16       0.918540             100      800     281  0.072396  
17       0.645989             100      800     260  0.074731  
18       0.575883             100      800     299  0.071929  
19       0.633560             100      800     304  0.077534  
20       0.879310             100      800     184  0.073330  
21       0.873349             100      800     599  0.070528  
22       0.912350             100      800     243  0.073797  
23       0.605086             100      800     289  0.075666  
24       0.795222             100      800     432  0.070061  
25       0.686816             100      800     298  0.074731  
26       0.650004             100      800     230  0.075199  
27       0.958642             100      800     710  0.077534  
28       0.819068             100      800     500  0.073797  
29       0.683328             100      800     223  0.071929  
..            ...             ...      ...     ...       ...  
47       0.932110             100      800     284  0.074264  
48       0.970980             100      800     190  0.074731  
49       0.860729             100      800     237  0.077067  
50       0.727123             100      800     313  0.073330  
51       0.766643             100      800     155  0.073330  
52       0.554096             100      800     311  0.073330  
53       0.653425             100      800     251  0.070995  
54       0.913893             100      800     185  0.074264  
55       0.852681             100      800     164  0.072396  
56       0.813962             100      800     487  0.071462  
57       0.696887             100      800     266  0.074731  
58       0.990212             100      800     187  0.074264  
59       0.967390             100      800     325  0.073797  
60       0.866653             100      800     199  0.072863  
61       0.513277             100      800     158  0.071929  
62       0.510473             100      800     173  0.072863  
63       0.549113             100      800     177  0.078468  
64       0.505236             100      800     249  0.073330  
65       0.803219             100      800     358  0.073797  
66       0.814105             100      800     145  0.074731  
67       0.642927             100      800     251  0.076133  
68       0.935353             100      800     335  0.077534  
69       0.960565             100      800     217  0.075666  
70       0.828036             100      800     239  0.072863  
71       0.635083             100      800     192  0.074264  
72       0.866647             100      800     149  0.072396  
73       0.588469             100      800     285  0.071929  
74       0.688402             100      800     154  0.077067  
75       0.976519             100      800     205  0.076133  
76       0.990400             100      800     337  0.078468  

[77 rows x 10 columns]
